scenario,algorithm,basket_ofr_mean,basket_lfr_mean,basket_qfr_mean,n_windows,avg_orders,avg_lines
baseline,dp_nominal,0.07535599295879011,0.04163407583712282,0.029965228656663293,43,1263.860465116279,2567.0697674418607
baseline,cpsat_nominal,0.07052718164509815,0.03864601937751541,0.027788099353102877,43,1263.860465116279,2567.0697674418607
baseline,dp_robust,0.0659072797232875,0.03593465778626108,0.025866137783715357,43,1263.860465116279,2567.0697674418607
baseline,cpsat_robust,0.06175694699088591,0.03347270755299608,0.02410044948089868,43,1263.860465116279,2567.0697674418607
baseline,greedy_nominal,0.061419597362987265,0.033263951998654465,0.023925887549226234,43,1263.860465116279,2567.0697674418607
baseline,greedy_robust,0.05460737527719007,0.02921937632487815,0.021033435968576375,43,1263.860465116279,2567.0697674418607
high_volatility,dp_nominal,0.05549156484322768,0.030094330928926938,0.023512234197092075,43,1263.860465116279,2567.0697674418607
high_volatility,cpsat_nominal,0.05309962405866666,0.028713171746974006,0.02238241785716082,43,1263.860465116279,2567.0697674418607
high_volatility,dp_robust,0.05156745701247166,0.027762782921677973,0.02148211783071169,43,1263.860465116279,2567.0697674418607
high_volatility,cpsat_robust,0.04919035460451698,0.026373719909157527,0.02031663601257915,43,1263.860465116279,2567.0697674418607
high_volatility,greedy_nominal,0.047374578867123665,0.025466824258242534,0.01981079523496586,43,1263.860465116279,2567.0697674418607
high_volatility,greedy_robust,0.04311243171395385,0.023087538860686995,0.017740688038466672,43,1263.860465116279,2567.0697674418607
large_scale,dp_nominal,0.04670785586525732,0.024616271451533934,0.01770018859450933,43,1263.860465116279,2567.0697674418607
large_scale,cpsat_nominal,0.04257629361539389,0.022435313907022945,0.016156488441277286,43,1263.860465116279,2567.0697674418607
large_scale,dp_robust,0.03830752839585913,0.020010115093440847,0.01432231347110174,43,1263.860465116279,2567.0697674418607
large_scale,greedy_nominal,0.03561247797152215,0.01866660908677165,0.013474225570538118,43,1263.860465116279,2567.0697674418607
large_scale,cpsat_robust,0.034997767120654874,0.018276399947993578,0.01316275728091068,43,1263.860465116279,2567.0697674418607
large_scale,greedy_robust,0.027709393369714543,0.01434567831905167,0.010385671110782526,43,1263.860465116279,2567.0697674418607
