scenario,algorithm,basket_ofr_mean,basket_lfr_mean,basket_qfr_mean,n_windows,avg_orders,avg_lines
baseline,dp_nominal,0.0647687752858113,0.12110482785085702,0.09138534898632031,43,1263.860465116279,2567.0697674418607
baseline,cpsat_nominal,0.060897085303751035,0.11560273443542184,0.08727921263487146,43,1263.860465116279,2567.0697674418607
baseline,dp_robust,0.059559157428981796,0.1113304920608234,0.08270007119374673,43,1263.860465116279,2567.0697674418607
baseline,greedy_nominal,0.05607230534504193,0.10738657951470677,0.08083801857102525,43,1263.860465116279,2567.0697674418607
baseline,cpsat_robust,0.055890016128086535,0.1063222272334381,0.07907450523484878,43,1263.860465116279,2567.0697674418607
baseline,greedy_robust,0.051351391300368525,0.0971056063726291,0.0721276332646743,43,1263.860465116279,2567.0697674418607
high_volatility,dp_nominal,0.04862868661810569,0.10911344349840561,0.09160733543950786,43,1263.860465116279,2567.0697674418607
high_volatility,cpsat_nominal,0.04624897669263328,0.10547308140260703,0.0881844110955291,43,1263.860465116279,2567.0697674418607
high_volatility,dp_robust,0.04659228027369098,0.100506539029373,0.08142718578816942,43,1263.860465116279,2567.0697674418607
high_volatility,greedy_nominal,0.04255474792600943,0.09937455615365086,0.08273152952986759,43,1263.860465116279,2567.0697674418607
high_volatility,cpsat_robust,0.04444310033829094,0.097125691145156,0.07847763437099484,43,1263.860465116279,2567.0697674418607
high_volatility,greedy_robust,0.039367084202930475,0.09002232482859417,0.07282925445112597,43,1263.860465116279,2567.0697674418607
large_scale,dp_nominal,0.0399217736949524,0.07700593479695782,0.05725730098861315,43,1263.860465116279,2567.0697674418607
large_scale,cpsat_nominal,0.036350270799134735,0.07209148638166411,0.05400120223149435,43,1263.860465116279,2567.0697674418607
large_scale,dp_robust,0.03480341051492485,0.06725889850131674,0.049260558112231186,43,1263.860465116279,2567.0697674418607
large_scale,greedy_nominal,0.03232614542400629,0.06544284887987915,0.04902868769363095,43,1263.860465116279,2567.0697674418607
large_scale,cpsat_robust,0.031758454933040595,0.06361477911361926,0.04683536507676735,43,1263.860465116279,2567.0697674418607
large_scale,greedy_robust,0.02623680479286834,0.05440445343172861,0.04035129342553369,43,1263.860465116279,2567.0697674418607
