window,scenario,algorithm,aggregated_lfr,basket_lfr,basket_ofr,proxy_gap_lfr
0,baseline,cpsat_nominal,0.2166005479899461,0.1384479717813051,0.06353350739773717,0.078152576208641
0,baseline,cpsat_robust,0.1981911898652343,0.12566137566137567,0.05657093124456049,0.07252981420385862
0,baseline,dp_nominal,0.2244744250937022,0.14285714285714285,0.06614447345517842,0.08161728223655934
0,baseline,dp_robust,0.2054321450316422,0.12874779541446207,0.058311575282854654,0.07668434961718013
0,baseline,greedy_nominal,0.2038603454366885,0.13051146384479717,0.06179286335944299,0.07334888159189132
0,baseline,greedy_robust,0.1752108637014686,0.11199294532627865,0.05134899912967798,0.06321791837518995
0,high_volatility,cpsat_nominal,0.224019517583268,0.12125220458553791,0.04612706701479547,0.10276731299773008
0,high_volatility,cpsat_robust,0.196722784658301,0.10449735449735449,0.04003481288076589,0.09222543016094652
0,high_volatility,dp_nominal,0.2346708403342607,0.12345679012345678,0.04612706701479547,0.11121405021080391
0,high_volatility,dp_robust,0.2019410540828898,0.10802469135802469,0.04177545691906005,0.0939163627248651
0,high_volatility,greedy_nominal,0.213427176289517,0.11155202821869488,0.040905134899912966,0.10187514807082211
0,high_volatility,greedy_robust,0.1850357697728575,0.09832451499118165,0.038294168842471714,0.08671125478167584
0,large_scale,cpsat_nominal,0.0920170750291822,0.0890652557319224,0.04699738903394256,0.0029518192972598084
0,large_scale,cpsat_robust,0.0814710083207688,0.07495590828924162,0.03655352480417755,0.0065151000315271795
0,large_scale,dp_nominal,0.0969985454008222,0.09611992945326278,0.05221932114882506,0.0008786159475594191
0,large_scale,dp_robust,0.0841861773717383,0.07980599647266313,0.04003481288076589,0.004380180899075159
0,large_scale,greedy_nominal,0.0875505468028338,0.07980599647266313,0.038294168842471714,0.007744550330170671
0,large_scale,greedy_robust,0.0712435259715499,0.06569664902998236,0.031331592689295036,0.005546876941567538
1,baseline,cpsat_nominal,0.2230149895600362,0.11708729830368225,0.05389221556886228,0.10592769125635396
1,baseline,cpsat_robust,0.2113993375465972,0.11294993793959454,0.055603079555175364,0.09844939960700266
1,baseline,dp_nominal,0.228971834643083,0.12163839470417874,0.05645851154833191,0.10733343993890425
1,baseline,dp_robust,0.2172003994910214,0.1150186181216384,0.05731394354148845,0.10218178136938301
1,baseline,greedy_nominal,0.2013801821261955,0.1092263136119156,0.05389221556886228,0.0921538685142799
1,baseline,greedy_robust,0.1905469813451569,0.09764170459247,0.046193327630453376,0.09290527675268691
1,high_volatility,cpsat_nominal,0.2186901916698831,0.10964004964832437,0.03934987168520103,0.10905014202155873
1,high_volatility,cpsat_robust,0.1945780582883968,0.09722796855606124,0.03934987168520103,0.09735008973233557
1,high_volatility,dp_nominal,0.2259035857017603,0.1133636739760033,0.041060735671514116,0.112539911725757
1,high_volatility,dp_robust,0.199731521873799,0.10177906495655771,0.041060735671514116,0.09795245691724129
1,high_volatility,greedy_nominal,0.207917765131759,0.10508895324782788,0.03934987168520103,0.10282881188393111
1,high_volatility,greedy_robust,0.1884904947586352,0.0906081919735209,0.03421727972626176,0.0978823027851143
1,large_scale,cpsat_nominal,0.0985683906984748,0.07736863880844022,0.033361847733105215,0.021199751890034577
1,large_scale,cpsat_robust,0.0865011101231588,0.0703351261894911,0.0290846877673225,0.016165983933667694
1,large_scale,dp_nominal,0.1061579671699342,0.08026479106330162,0.03849443969204448,0.02589317610663258
1,large_scale,dp_robust,0.0879297575991419,0.0719900703351262,0.033361847733105215,0.015939687264015706
1,large_scale,greedy_nominal,0.0889940085351254,0.06785270997103848,0.029940119760479042,0.02114129856408692
1,large_scale,greedy_robust,0.0778038029559688,0.05833678113363674,0.02480752780153978,0.019467021822332058
2,baseline,cpsat_nominal,0.1878397658453244,0.10885544277213861,0.05664488017429194,0.0789843230731858
2,baseline,cpsat_robust,0.1812730446747399,0.10535526776338817,0.054466230936819175,0.07591777691135172
2,baseline,dp_nominal,0.2050054708817814,0.11690584529226461,0.058823529411764705,0.08809962558951678
2,baseline,dp_robust,0.1856769071524195,0.10920546027301366,0.058823529411764705,0.07647144687940584
2,baseline,greedy_nominal,0.1826766482177834,0.1064053202660133,0.05374001452432825,0.0762713279517701
2,baseline,greedy_robust,0.1716133432942303,0.1008050402520126,0.05664488017429194,0.0708083030422177
2,high_volatility,cpsat_nominal,0.2062605391168711,0.10150507525376269,0.04429920116194626,0.1047554638631084
2,high_volatility,cpsat_robust,0.179940233429789,0.09030451522576129,0.03776325344952796,0.0896357182040277
2,high_volatility,dp_nominal,0.2116200233725636,0.10360518025901296,0.04502541757443718,0.10801484311355065
2,high_volatility,dp_robust,0.1837182292365156,0.0920546027301365,0.0392156862745098,0.09166362650637909
2,high_volatility,greedy_nominal,0.1963344758749746,0.09800490024501225,0.04429920116194626,0.09832957562996235
2,high_volatility,greedy_robust,0.168944684645861,0.08610430521526076,0.037037037037037035,0.08284037943060023
2,large_scale,cpsat_nominal,0.0891369551431177,0.07350367518375919,0.03558460421205519,0.01563327995935851
2,large_scale,cpsat_robust,0.0781914460710208,0.061953097654882744,0.026870007262164125,0.016238348416138054
2,large_scale,dp_nominal,0.0929653674350684,0.0759537976898845,0.03776325344952796,0.017011569745183905
2,large_scale,dp_robust,0.081571940882271,0.06685334266713336,0.029048656499636893,0.014718598215137643
2,large_scale,greedy_nominal,0.0823349201527608,0.06510325516275814,0.027596223674655047,0.017231664990002657
2,large_scale,greedy_robust,0.0711434747988776,0.054952747637381866,0.02178649237472767,0.016190727161495735
3,baseline,cpsat_nominal,0.18233201565179,0.11666666666666667,0.06203135650988412,0.06566534898512333
3,baseline,cpsat_robust,0.1716693809875371,0.10833333333333334,0.05998636673483299,0.06333604765420375
3,baseline,dp_nominal,0.1883473285225529,0.12101449275362319,0.06339468302658487,0.0673328357689297
3,baseline,dp_robust,0.179603741682734,0.11413043478260869,0.06407634628493525,0.0654733069001253
3,baseline,greedy_nominal,0.1766507948571964,0.11485507246376811,0.06612133605998637,0.06179572239342829
3,baseline,greedy_robust,0.1624067041559533,0.10869565217391304,0.06475800954328562,0.05371105198204025
3,high_volatility,cpsat_nominal,0.1780770261662375,0.1068840579710145,0.04703476482617587,0.071192968195223
3,high_volatility,cpsat_robust,0.1577090138945565,0.09746376811594203,0.047716428084526245,0.06024524577861447
3,high_volatility,dp_nominal,0.184946630590162,0.11159420289855072,0.047716428084526245,0.07335242769161128
3,high_volatility,dp_robust,0.1632501431977954,0.1,0.04839809134287662,0.0632501431977954
3,high_volatility,greedy_nominal,0.171997165970492,0.10217391304347827,0.04567143830947512,0.06982325292701373
3,high_volatility,greedy_robust,0.1501525050826077,0.09021739130434783,0.04226312201772325,0.05993511377825986
3,large_scale,cpsat_nominal,0.0783957111532576,0.07282608695652174,0.033401499659168374,0.005569624196735859
3,large_scale,cpsat_robust,0.0708427988802967,0.06123188405797102,0.023858214042263123,0.009610914822325678
3,large_scale,dp_nominal,0.0836068338420057,0.07717391304347826,0.03680981595092025,0.006432920798527447
3,large_scale,dp_robust,0.0744901324293679,0.0644927536231884,0.027266530334014997,0.0099973788061795
3,large_scale,greedy_nominal,0.0712498223912478,0.06739130434782609,0.03135650988411725,0.003858518043421716
3,large_scale,greedy_robust,0.0604734846917385,0.05543478260869565,0.02044989775051125,0.0050387020830428494
