window,scenario,algorithm,test_start,test_end,basket_ofr,basket_lfr,basket_qfr,n_orders,n_lines,total_qty
0,baseline,cpsat_nominal,2016-02-27,2016-03-04,0.06353350739773717,0.1384479717813051,0.10957407395779045,1149,2268,3185.0599999999995
0,baseline,cpsat_robust,2016-02-27,2016-03-04,0.05657093124456049,0.12566137566137567,0.09764337249533762,1149,2268,3185.0599999999995
0,baseline,dp_nominal,2016-02-27,2016-03-04,0.06614447345517842,0.14285714285714285,0.11302769806534259,1149,2268,3185.0599999999995
0,baseline,dp_robust,2016-02-27,2016-03-04,0.058311575282854654,0.12874779541446207,0.10015509911901191,1149,2268,3185.0599999999995
0,baseline,greedy_nominal,2016-02-27,2016-03-04,0.06179286335944299,0.13051146384479717,0.10109699660288976,1149,2268,3185.0599999999995
0,baseline,greedy_robust,2016-02-27,2016-03-04,0.05134899912967798,0.11199294532627865,0.08508473937696623,1149,2268,3185.0599999999995
0,high_volatility,cpsat_nominal,2016-02-27,2016-03-04,0.04612706701479547,0.12125220458553791,0.11020200561370902,1149,2268,3185.0599999999995
0,high_volatility,cpsat_robust,2016-02-27,2016-03-04,0.04003481288076589,0.10449735449735449,0.09136405593615192,1149,2268,3185.0599999999995
0,high_volatility,dp_nominal,2016-02-27,2016-03-04,0.04612706701479547,0.12345679012345678,0.11114390309758687,1149,2268,3185.0599999999995
0,high_volatility,dp_robust,2016-02-27,2016-03-04,0.04177545691906005,0.10802469135802469,0.09345506835036076,1149,2268,3185.0599999999995
0,high_volatility,greedy_nominal,2016-02-27,2016-03-04,0.040905134899912966,0.11155202821869488,0.10266682574268618,1149,2268,3185.0599999999995
0,high_volatility,greedy_robust,2016-02-27,2016-03-04,0.038294168842471714,0.09832451499118165,0.08508473937696623,1149,2268,3185.0599999999995
0,large_scale,cpsat_nominal,2016-02-27,2016-03-04,0.04699738903394256,0.0890652557319224,0.06970041380696126,1149,2268,3185.0599999999995
0,large_scale,cpsat_robust,2016-02-27,2016-03-04,0.03655352480417755,0.07495590828924162,0.05808367817246772,1149,2268,3185.0599999999995
0,large_scale,dp_nominal,2016-02-27,2016-03-04,0.05221932114882506,0.09611992945326278,0.07472386705430982,1149,2268,3185.0599999999995
0,large_scale,dp_robust,2016-02-27,2016-03-04,0.04003481288076589,0.07980599647266313,0.06153730228001985,1149,2268,3185.0599999999995
0,large_scale,greedy_nominal,2016-02-27,2016-03-04,0.038294168842471714,0.07980599647266313,0.06310713141981628,1149,2268,3185.0599999999995
0,large_scale,greedy_robust,2016-02-27,2016-03-04,0.031331592689295036,0.06569664902998236,0.050234532473485596,1149,2268,3185.0599999999995
1,baseline,cpsat_nominal,2016-03-05,2016-03-11,0.05389221556886228,0.11708729830368225,0.08835478437028638,1169,2417,3633.08
1,baseline,cpsat_robust,2016-03-05,2016-03-11,0.055603079555175364,0.11294993793959454,0.08202406773316305,1169,2417,3633.08
1,baseline,dp_nominal,2016-03-05,2016-03-11,0.05645851154833191,0.12163839470417874,0.09138251841412796,1169,2417,3633.08
1,baseline,dp_robust,2016-03-05,2016-03-11,0.05731394354148845,0.1150186181216384,0.08340031048036377,1169,2417,3633.08
1,baseline,greedy_nominal,2016-03-05,2016-03-11,0.05389221556886228,0.1092263136119156,0.08147357063428276,1169,2417,3633.08
1,baseline,greedy_robust,2016-03-05,2016-03-11,0.046193327630453376,0.09764170459247,0.07156462285443756,1169,2417,3633.08
1,high_volatility,cpsat_nominal,2016-03-05,2016-03-11,0.03934987168520103,0.10964004964832437,0.09385975535908926,1169,2417,3633.08
1,high_volatility,cpsat_robust,2016-03-05,2016-03-11,0.03934987168520103,0.09722796855606124,0.08092307353540247,1169,2417,3633.08
1,high_volatility,dp_nominal,2016-03-05,2016-03-11,0.041060735671514116,0.1133636739760033,0.09798848360069143,1169,2417,3633.08
1,high_volatility,dp_robust,2016-03-05,2016-03-11,0.041060735671514116,0.10177906495655771,0.08367555902980392,1169,2417,3633.08
1,high_volatility,greedy_nominal,2016-03-05,2016-03-11,0.03934987168520103,0.10508895324782788,0.08863003291972651,1169,2417,3633.08
1,high_volatility,greedy_robust,2016-03-05,2016-03-11,0.03421727972626176,0.0906081919735209,0.0748676054477193,1169,2417,3633.08
1,large_scale,cpsat_nominal,2016-03-05,2016-03-11,0.033361847733105215,0.07736863880844022,0.05752694683299019,1169,2417,3633.08
1,large_scale,cpsat_robust,2016-03-05,2016-03-11,0.0290846877673225,0.0703351261894911,0.052297224393627446,1169,2417,3633.08
1,large_scale,dp_nominal,2016-03-05,2016-03-11,0.03849443969204448,0.08026479106330162,0.059728935228511346,1169,2417,3633.08
1,large_scale,dp_robust,2016-03-05,2016-03-11,0.033361847733105215,0.0719900703351262,0.05312297004194788,1169,2417,3633.08
1,large_scale,greedy_nominal,2016-03-05,2016-03-11,0.029940119760479042,0.06785270997103848,0.05064573309698658,1169,2417,3633.08
1,large_scale,greedy_robust,2016-03-05,2016-03-11,0.02480752780153978,0.05833678113363674,0.04403976791042311,1169,2417,3633.08
2,baseline,cpsat_nominal,2016-03-12,2016-03-18,0.05664488017429194,0.10885544277213861,0.08266387239492375,1377,2857,4294.5
2,baseline,cpsat_robust,2016-03-12,2016-03-18,0.054466230936819175,0.10535526776338817,0.07823960880195599,1377,2857,4294.5
2,baseline,dp_nominal,2016-03-12,2016-03-18,0.058823529411764705,0.11690584529226461,0.08801955990220049,1377,2857,4294.5
2,baseline,dp_robust,2016-03-12,2016-03-18,0.058823529411764705,0.10920546027301366,0.08080102456630574,1377,2857,4294.5
