window,scenario,algorithm,sku,stock_qty
1,baseline,literature_nominal,X5TFY,6
1,baseline,literature_nominal,ABFD7,5
1,baseline,literature_nominal,JO2C3,6
1,baseline,literature_nominal,2IA22,6
1,baseline,literature_nominal,TU0A5,7
1,baseline,literature_nominal,WYFCJ,8
1,baseline,literature_nominal,9J5RX,4
1,baseline,literature_nominal,9QP7J,5
1,baseline,literature_nominal,X59YE,6
1,baseline,literature_nominal,520UE,3
1,baseline,literature_nominal,IQYAY,4
1,baseline,literature_nominal,ERTYE,5
1,baseline,literature_nominal,68AG2,6
1,baseline,literature_nominal,FZM7U,4
1,baseline,literature_nominal,BK9BM,5
1,baseline,literature_nominal,RBNO8,5
1,baseline,literature_nominal,1MR3E,4
1,baseline,literature_nominal,FUPBO,6
1,baseline,literature_nominal,0OZBT,4
1,baseline,literature_nominal,G5878,7
1,baseline,literature_robust,3YDVF,15
1,baseline,literature_robust,DWJC4,15
1,baseline,literature_robust,CZUZX,15
1,baseline,literature_robust,QGK3S,15
1,baseline,literature_robust,DMJ70,15
1,baseline,literature_robust,M4TM4,13
1,baseline,literature_robust,E3PAN,15
1,baseline,literature_robust,4X8P4,13
1,baseline,literature_robust,7GQRJ,15
1,baseline,literature_robust,EMJ1S,11
1,baseline,literature_robust,536VK,12
1,baseline,literature_robust,JCYBN,15
1,baseline,literature_robust,51OBI,14
1,baseline,literature_robust,F79YP,12
1,baseline,literature_robust,H87RV,8
1,baseline,literature_robust,2WKBS,11
1,baseline,literature_robust,20XCP,12
1,baseline,literature_robust,4R4F9,10
1,baseline,literature_robust,ZSVWE,8
1,baseline,literature_robust,B87MU,13
1,baseline,literature_robust,IRQZ4,15
1,baseline,literature_robust,JJ9FT,9
1,baseline,literature_robust,9STQJ,10
1,baseline,literature_robust,IFUHU,10
1,baseline,literature_robust,I36F2,8
1,baseline,literature_robust,C7BXU,7
1,baseline,literature_robust,7IE9S,7
1,baseline,literature_robust,68BRQ,6
1,baseline,literature_robust,IQNBU,6
1,baseline,literature_robust,X5TFY,6
1,baseline,literature_robust,ABFD7,7
1,baseline,literature_robust,JO2C3,8
1,baseline,literature_robust,2IA22,8
1,baseline,literature_robust,TU0A5,8
1,baseline,literature_robust,WYFCJ,8
1,baseline,literature_robust,9J5RX,4
1,baseline,literature_robust,9QP7J,7
1,baseline,literature_robust,X59YE,7
1,baseline,literature_robust,520UE,4
1,baseline,literature_robust,IQYAY,4
1,baseline,literature_robust,68AG2,7
1,baseline,literature_robust,FZM7U,5
1,baseline,literature_robust,BK9BM,6
1,baseline,literature_robust,RBNO8,7
1,baseline,literature_robust,1MR3E,6
1,baseline,literature_robust,FUPBO,8
1,baseline,literature_robust,0OZBT,5
1,baseline,literature_robust,G5878,8
2,baseline,literature_nominal,3YDVF,15
2,baseline,literature_nominal,DWJC4,15
2,baseline,literature_nominal,CZUZX,14
2,baseline,literature_nominal,LJ26I,15
2,baseline,literature_nominal,QGK3S,14
2,baseline,literature_nominal,DMJ70,15
2,baseline,literature_nominal,9Y7M0,15
2,baseline,literature_nominal,M4TM4,11
2,baseline,literature_nominal,E3PAN,15
2,baseline,literature_nominal,4X8P4,11
2,baseline,literature_nominal,7GQRJ,15
2,baseline,literature_nominal,EMJ1S,9
2,baseline,literature_nominal,536VK,10
2,baseline,literature_nominal,JCYBN,15
2,baseline,literature_nominal,51OBI,13
2,baseline,literature_nominal,F79YP,11
2,baseline,literature_nominal,H87RV,5
2,baseline,literature_nominal,2WKBS,10
2,baseline,literature_nominal,20XCP,9
2,baseline,literature_nominal,4R4F9,9
2,baseline,literature_nominal,ZSVWE,6
2,baseline,literature_nominal,B87MU,11
2,baseline,literature_nominal,IRQZ4,15
2,baseline,literature_nominal,JJ9FT,7
2,baseline,literature_nominal,9STQJ,8
2,baseline,literature_nominal,IFUHU,7
2,baseline,literature_nominal,I36F2,8
2,baseline,literature_nominal,C7BXU,6
2,baseline,literature_nominal,7IE9S,6
2,baseline,literature_nominal,68BRQ,5
2,baseline,literature_nominal,IQNBU,6
2,baseline,literature_nominal,X5TFY,6
2,baseline,literature_nominal,ABFD7,6
2,baseline,literature_nominal,JO2C3,6
2,baseline,literature_nominal,2IA22,7
2,baseline,literature_nominal,TU0A5,7
2,baseline,literature_nominal,WYFCJ,7
2,baseline,literature_nominal,9J5RX,4
2,baseline,literature_nominal,9QP7J,5
2,baseline,literature_nominal,X59YE,6
2,baseline,literature_nominal,520UE,3
2,baseline,literature_nominal,IQYAY,4
2,baseline,literature_nominal,ERTYE,5
2,baseline,literature_nominal,68AG2,6
2,baseline,literature_nominal,FZM7U,4
2,baseline,literature_nominal,BK9BM,5
2,baseline,literature_nominal,RBNO8,5
2,baseline,literature_nominal,NSGRM,5
2,baseline,literature_nominal,1MR3E,5
2,baseline,literature_nominal,FUPBO,6
2,baseline,literature_nominal,0OZBT,4
2,baseline,literature_nominal,G5878,6
2,baseline,literature_robust,3YDVF,15
2,baseline,literature_robust,DWJC4,15
2,baseline,literature_robust,CZUZX,15
2,baseline,literature_robust,QGK3S,15
2,baseline,literature_robust,DMJ70,15
2,baseline,literature_robust,M4TM4,12
2,baseline,literature_robust,E3PAN,15
2,baseline,literature_robust,4X8P4,12
2,baseline,literature_robust,7GQRJ,15
2,baseline,literature_robust,EMJ1S,11
2,baseline,literature_robust,536VK,12
2,baseline,literature_robust,JCYBN,15
2,baseline,literature_robust,51OBI,14
2,baseline,literature_robust,F79YP,13
2,baseline,literature_robust,H87RV,7
2,baseline,literature_robust,2WKBS,11
2,baseline,literature_robust,20XCP,12
2,baseline,literature_robust,4R4F9,10
2,baseline,literature_robust,ZSVWE,7
2,baseline,literature_robust,B87MU,13
2,baseline,literature_robust,IRQZ4,15
2,baseline,literature_robust,JJ9FT,9
2,baseline,literature_robust,9STQJ,11
2,baseline,literature_robust,IFUHU,9
2,baseline,literature_robust,I36F2,8
2,baseline,literature_robust,C7BXU,7
2,baseline,literature_robust,7IE9S,7
2,baseline,literature_robust,68BRQ,6
2,baseline,literature_robust,IQNBU,7
2,baseline,literature_robust,X5TFY,8
2,baseline,literature_robust,ABFD7,7
2,baseline,literature_robust,JO2C3,8
2,baseline,literature_robust,2IA22,9
2,baseline,literature_robust,TU0A5,8
2,baseline,literature_robust,WYFCJ,8
2,baseline,literature_robust,9J5RX,4
2,baseline,literature_robust,9QP7J,7
2,baseline,literature_robust,X59YE,7
2,baseline,literature_robust,520UE,4
2,baseline,literature_robust,IQYAY,4
2,baseline,literature_robust,68AG2,7
2,baseline,literature_robust,FZM7U,5
2,baseline,literature_robust,BK9BM,6
2,baseline,literature_robust,RBNO8,6
2,baseline,literature_robust,1MR3E,6
2,baseline,literature_robust,FUPBO,8
2,baseline,literature_robust,0OZBT,5
2,baseline,literature_robust,G5878,8
3,baseline,literature_nominal,3YDVF,15
3,baseline,literature_nominal,DWJC4,15
3,baseline,literature_nominal,TL4WZ,15
3,baseline,literature_nominal,CZUZX,14
3,baseline,literature_nominal,LJ26I,15
3,baseline,literature_nominal,QGK3S,14
3,baseline,literature_nominal,DMJ70,15
3,baseline,literature_nominal,M4TM4,12
3,baseline,literature_nominal,E3PAN,15
3,baseline,literature_nominal,4X8P4,9
3,baseline,literature_nominal,7GQRJ,15
3,baseline,literature_nominal,EMJ1S,10
3,baseline,literature_nominal,536VK,9
3,baseline,literature_nominal,JCYBN,15
3,baseline,literature_nominal,51OBI,12
3,baseline,literature_nominal,F79YP,12
3,baseline,literature_nominal,H87RV,6
3,baseline,literature_nominal,2WKBS,10
3,baseline,literature_nominal,20XCP,8
3,baseline,literature_nominal,4R4F9,9
3,baseline,literature_nominal,ZSVWE,6
3,baseline,literature_nominal,B87MU,10
3,baseline,literature_nominal,IRQZ4,14
3,baseline,literature_nominal,JJ9FT,7
3,baseline,literature_nominal,9STQJ,9
3,baseline,literature_nominal,IFUHU,6
3,baseline,literature_nominal,I36F2,9
3,baseline,literature_nominal,C7BXU,6
3,baseline,literature_nominal,7IE9S,6
3,baseline,literature_nominal,68BRQ,5
3,baseline,literature_nominal,IQNBU,6
3,baseline,literature_nominal,X5TFY,7
3,baseline,literature_nominal,ABFD7,6
3,baseline,literature_nominal,JO2C3,6
3,baseline,literature_nominal,2IA22,6
3,baseline,literature_nominal,TU0A5,8
3,baseline,literature_nominal,DUV2Y,6
3,baseline,literature_nominal,WYFCJ,7
3,baseline,literature_nominal,9J5RX,3
3,baseline,literature_nominal,9QP7J,5
3,baseline,literature_nominal,X59YE,6
3,baseline,literature_nominal,520UE,3
3,baseline,literature_nominal,IQYAY,3
3,baseline,literature_nominal,ERTYE,5
3,baseline,literature_nominal,XJLWY,4
3,baseline,literature_nominal,68AG2,6
3,baseline,literature_nominal,FZM7U,4
3,baseline,literature_nominal,BK9BM,4
3,baseline,literature_nominal,RBNO8,5
3,baseline,literature_nominal,NSGRM,5
3,baseline,literature_nominal,1MR3E,5
3,baseline,literature_nominal,FUPBO,5
3,baseline,literature_nominal,0OZBT,4
3,baseline,literature_nominal,G5878,6
3,baseline,literature_robust,3YDVF,15
3,baseline,literature_robust,DWJC4,15
3,baseline,literature_robust,CZUZX,15
3,baseline,literature_robust,QGK3S,15
3,baseline,literature_robust,DMJ70,15
3,baseline,literature_robust,M4TM4,15
3,baseline,literature_robust,E3PAN,15
3,baseline,literature_robust,4X8P4,10
3,baseline,literature_robust,7GQRJ,15
3,baseline,literature_robust,EMJ1S,12
3,baseline,literature_robust,536VK,11
3,baseline,literature_robust,JCYBN,15
3,baseline,literature_robust,51OBI,13
3,baseline,literature_robust,F79YP,13
3,baseline,literature_robust,H87RV,8
3,baseline,literature_robust,2WKBS,11
3,baseline,literature_robust,20XCP,9
3,baseline,literature_robust,4R4F9,11
3,baseline,literature_robust,ZSVWE,8
3,baseline,literature_robust,B87MU,11
3,baseline,literature_robust,IRQZ4,15
3,baseline,literature_robust,JJ9FT,8
3,baseline,literature_robust,9STQJ,11
3,baseline,literature_robust,IFUHU,9
3,baseline,literature_robust,I36F2,10
3,baseline,literature_robust,C7BXU,7
3,baseline,literature_robust,7IE9S,7
3,baseline,literature_robust,68BRQ,6
3,baseline,literature_robust,IQNBU,7
3,baseline,literature_robust,X5TFY,9
3,baseline,literature_robust,ABFD7,7
3,baseline,literature_robust,JO2C3,8
3,baseline,literature_robust,2IA22,7
3,baseline,literature_robust,TU0A5,9
3,baseline,literature_robust,WYFCJ,8
3,baseline,literature_robust,9J5RX,4
3,baseline,literature_robust,9QP7J,7
3,baseline,literature_robust,X59YE,7
3,baseline,literature_robust,520UE,4
3,baseline,literature_robust,IQYAY,4
3,baseline,literature_robust,XJLWY,5
3,baseline,literature_robust,68AG2,7
3,baseline,literature_robust,FZM7U,5
3,baseline,literature_robust,BK9BM,5
3,baseline,literature_robust,RBNO8,6
3,baseline,literature_robust,1MR3E,6
3,baseline,literature_robust,FUPBO,7
3,baseline,literature_robust,0OZBT,5
3,baseline,literature_robust,G5878,7
4,baseline,literature_nominal,3YDVF,15
4,baseline,literature_nominal,OV1P9,15
4,baseline,literature_nominal,DWJC4,15
4,baseline,literature_nominal,CZUZX,14
4,baseline,literature_nominal,LJ26I,15
4,baseline,literature_nominal,QGK3S,15
4,baseline,literature_nominal,DMJ70,15
4,baseline,literature_nominal,M4TM4,13
4,baseline,literature_nominal,E3PAN,15
4,baseline,literature_nominal,4X8P4,9
4,baseline,literature_nominal,7GQRJ,15
4,baseline,literature_nominal,EMJ1S,10
4,baseline,literature_nominal,536VK,8
4,baseline,literature_nominal,JCYBN,15
4,baseline,literature_nominal,51OBI,12
4,baseline,literature_nominal,F79YP,14
4,baseline,literature_nominal,H87RV,6
4,baseline,literature_nominal,2WKBS,10
4,baseline,literature_nominal,20XCP,8
4,baseline,literature_nominal,4R4F9,10
4,baseline,literature_nominal,ZSVWE,7
4,baseline,literature_nominal,B87MU,10
4,baseline,literature_nominal,IRQZ4,15
4,baseline,literature_nominal,JJ9FT,8
4,baseline,literature_nominal,9STQJ,9
4,baseline,literature_nominal,IFUHU,7
4,baseline,literature_nominal,I36F2,9
4,baseline,literature_nominal,C7BXU,7
4,baseline,literature_nominal,7IE9S,6
4,baseline,literature_nominal,68BRQ,6
4,baseline,literature_nominal,IQNBU,6
4,baseline,literature_nominal,X5TFY,7
4,baseline,literature_nominal,ABFD7,7
4,baseline,literature_nominal,JO2C3,6
4,baseline,literature_nominal,2IA22,5
4,baseline,literature_nominal,TU0A5,7
